Species	X421	X422	X423	X424	X425	X426	X427	X428	X429	X430	X431	X432	X433	X434	X435	X436	X437	X438	X439	X440	X441	X442	X443	X444	X445	X446	X447	X448	X449	X450	X451	X452	X453	X454	X455	X456	X457	X458	X459	X460	X461	X462	X463	X464	X465	X466	X467	X468	X469	X470	X471	X472	X473	X474	X475	X476	X477	X478	X479	X480	X481	X482	X483	X484	X485	X486	X487	X488	X489	X490	X797	X798	X799	X800	X801	X802	X803	X804	X805	X806	X807	X808	X809	X810	X811	X812	X813	X814	X815	X816	X817	X818	X819	X820	X821	X822	X823	X824	X825	X826	X827	X828	X829	X830	X831	X832	X833	X834	X835	X836	X837	X838	X839	X840	X841	X842	X843	X844	X845	X846	X847	X848	X849	X850	X851	X852	X853	X854	X855	X856	X857	X858	X859	X860	X861	X862	X863	X864	X865	X866
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.131303389	0.505424698	0.88238381	0	0.151449389	0.572168696	0.339699229	0	5.680663191	0.795539697	0	0	0	0	0	0.018832332	0.148302216	0.268105936	0	0	0.556694865	0.505800185	0.429090242	0	0.368512968	0	0	0	0.212718255	0	0.58901725	0	0	0	0.898734962	0	0	0.114074935	0	0	0	0	0	0	0	0	0.535549607	1.246386106	0.704367773	1.171656739	0.793876858	0.329501807	0.575158997	0	0	0.051268559	0	0	0	0	0	0	0	0	0	1.39064551	0	0.002264933	0.189224422	0	0	0	0	0	0	0	0	0.063618569	0.796959324	0.338154571	0	0.128921664	0.123797817	0.700671605	0	0	0	0	0.242782227	0.593303939	0	0	0	0.534080225	0.244770583	0	0	0	0	0	0.140789971	0	1.210449122	0	0	0	0	0	0	0.663472316	0	0	0	0.464871183	0	0	0	0	0	0	0	0	0	0	0.017834292	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0.610110002	0.165873714	0.676877229	0.044612862	0	0	0.196572884	0.237456466	0	0	0.127620954	1.329427244	0	0	0.342144198	0.926262215	0	0	0	1.674649921	0	0	0.223068738	0	0.832994105	0.931434792	0.348610234	0	0	0.486080926	1.000388186	0	0.510887317	0	0	0	0.979609322	0.620922175	0.037884399	0.675391351	0.118997018	0.011908677	0.083236592	0	0	0	0	0	0.337535641	0.537597076	0.823041378	0.842156307	0.445804813	0.254938779	0.703803929	0.500919632	0.269242781	0.801863452	0	0	0	0	0	0	0	0	0	2.53352383	0.392449376	0	0	0	0	0.127175901	0	0	0	0	0	0.017977209	0	0.154426127	0	0	0	0.238838529	0	0	0	0	0.511964085	0.117458603	0	0.756420497	0	0	0	0	0	0	0	0	0	0	0.844512527	0	0	0	0	0	0	0	0.189751048	0	0.210168488	0.12059222	0	0	0	0	0.21217859	0	0	0	0	0	0	0
No_ZIKV	0	0	0.222775994	0	0	0.187400439	0.33915266	0.930386967	0	0.286253855	0.339691507	0	0.281706808	0.234801507	3.643955332	1.992095749	0	0	0.812713014	1.370654576	0	0.426970726	0.66292475	0.901998623	0	0.04374601	0.254728094	0	0	1.300630925	1.097222412	7.053774492	0	0	1.392514422	4.622487747	3.652193364	4.763510299	2.426627113	0	0.250624572	1.475663589	3.940810338	0	2.090013853	0	0	0.16906795	1.5672537	1.593536738	0.292870343	1.974923327	0.117840144	0	0.53742453	0.056154422	0	0	0.250609966	0	1.265727373	3.152004255	5.428901068	2.589286867	2.101399729	0.882153321	1.975143705	1.238718959	0.860760273	1.16245548	0	0	0	0	0	0	0	0	0.190517186	2.538087875	0.068452731	0.032508075	0	0.307045815	0	0.543475517	0	0	0.217121593	0	0	0.234531052	2.024485597	1.701896499	0.353580251	0.792980224	1.610777894	1.694090626	0.138742745	0.548499357	0	0.302617892	2.561959565	2.167076675	0	0.076973979	0	0.35553161	1.551248617	0.316494597	0	0.299549007	0.664149996	0.159480728	1.631607695	0.768605141	2.850778103	0.305878015	0.56226957	0.217044891	0	0	0.80763071	2.64661621	0.387229627	0	0	0.399800527	1.030598462	0	0	0.269101628	1.535478247	0	0	1.805690485	0.14697832	0	0	0
No_ZIKV	0	0	0	0.069661571	0	0.197554342	0	0.05156749	0	0.308043411	0	0	0.06663742	0	1.524581192	0.535016193	0	0	0	0.448702111	4.20100512	0	0.006097879	0.752515134	0.100625109	0	0.456398249	0	0	1.123707443	0.757574796	1.752182728	0	0	0	0.70728481	1.056098104	0.104448493	0.537184909	0	0.041986228	0.38022377	0.123681367	0	0.611954259	0	0	0	0.093443006	0	0.198023531	1.290547184	0.559435016	0.233522697	0.157314302	0.242678034	0	0	0	0.17940568	0.055637701	0	0.265996934	0.50194672	0.170242061	0.146942849	0	0.829880275	0.518086539	0.524996399	0	0	0	0	0.121092172	0	0	0	0.391096391	0	0	0	0	0	0	0	0	0	0.007020346	0.025399384	0	0	0	0	0	0	0	0	0	0	0	0.200047249	0	0.336328078	0	0	0	0.229356363	0.020713247	0.44245234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281064951	0	0	0	0	0	0	0	0.019784012	0	0	0	0.22717788	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0.337056878	0	0	0	0	0	0	0.62303932	0	0	0	0.773949535	0.089750482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.852034395	1.333913556	0	0	0.046764498	1.083074334	0.205485652	0	0	0	0	0.005656341	0	0	0	1.158072229	0.368650813	0	0	0.179432545	0	0	0	0.488095015	0	0	0	1.0269717	0	0	0	1.735999161	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092034852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.201744205	0	0	0	0.192221198	0	0	0	0.085957177	0	0	0	0.715631465	0	0	0	0	0	0	0.790215908	0	0	0	0	0	0	0	1.263747734	0	0	0	0.031005495	0	0	0	0.342019763	0	0	0	0.247346129	0	0	0
No_ZIKV	0	0	0.008142346	0	0	0.443788085	0	0	0	0.166576262	0	0	0	0.288684894	2.158032479	0.069079722	0.171853951	0	0.282280734	0.055531739	1.214485233	0	0.223481268	0.11124462	0	0	0.147625662	0	0	0.592298179	0.112161687	1.048103921	0	0	0	0.06929187	1.816122676	0.28170962	0	0	0	0	0	0	0	0	0.028566203	0	0	0.286581807	0.012889488	1.195081101	0	0	0	0	0	0	0	0.003433361	0.135242891	0.548731839	0.449604041	0.543868342	0.123950969	0	0.378641042	0.527673005	0	0	0	0	0	0	0	0	0	0	0	0.154571854	0	0	0	0	0	0	0	0	0	0.041840022	0	0	0.438969992	0	0	0	0	0.426057927	0	0	0.33474274	0	0	0.129136055	0	0	0	0	0	0	0	0.68251957	0	0	0	0.378903578	0.226376075	0	0	0	0	0	0	0	0.306798056	0	0	0.019892416	0.216845353	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0.231196019	0	0.3812757	0	0.144309897	0	0.154049935	0	0	0	0	0.224424487	0	0	0	0	0.146658288	2.02323748	0	0	0.24452438	0.690969879	0	0	0	0.643691344	1.985681612	0.59316791	0.079957827	1.226405448	0	0	0	5.056086739	0.611378659	0	0	0.489028911	0.050222964	0.099900237	0	0.333986231	0	0.56649622	0	0.248414274	1.331234391	0.122871747	6.297826365	0.043585128	0	0	0.842487925	0	0	0	0.154502207	0	0.015725546	0.093814105	1.713071936	0.201237776	0	0	2.997507676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222383677	0	0.029708749	0	0	0	0	0	0.030785663	0	0	0.799252014	0.855153153	0	0	0	0	0	0.050366406	0.149480179	2.636108908	0	0.175014793	0.138437827	0	0.034902273	0.06507488	0	0	0	0	0.135716935	0	0	0	0	0	0	0	0.832269868	0	0	0	0.668772865	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0	0	0.020351185	0	0	0	0.465652742	0	0	0	0	0	0	0.632348122	0	0	0	1.967701249	0	0	0	0.417609265	0	0	0	0.546551346	3.419800339	0	0	0	0	0	0	0.841625017	0.233648514	0	0	0	0	0	0	0.510171054	0	0.9625119	0.835024671	0.310068986	0.911756529	0	1.132772411	0.061207479	0.196194254	0	0	0	0	0	0.321813167	0	2.014518571	0.462568429	1.273934	0.390936623	0.093056118	0.011825289	0.62822595	0.489885407	0	0	0	0	0	0	0	0	0	0	0	0	0.221352307	0	0	0	0	0	0	0	0.069709028	0	0	0	0	0	0	0.035341641	0	0	0	0	0.572407499	0	0	0	0	0	0	0.028256491	0.536486059	0	0.174530503	0.848906055	0.085877073	0	0.521181256	0.127347474	0	0	0	0.741907631	0.644098228	0.207366519	0.802732557	1.086650589	0	1.009708044	0	0.462926687	0	0.010093109	0	0	0	0	0	0.969791778	0	1.137643155	0
No_ZIKV	0	0	0	0	0	0	0	0	0	1.149117968	0	0.271416612	0.095006684	0.475249678	2.074804047	0.259423043	1.791708302	0.33822125	0.702946167	0.278866853	0.886481336	0.303871888	0.214040661	0.243015327	0	1.797475228	1.710615413	0.462158128	0.039440939	0.368822084	0.197206747	0	0	0	0.295584363	0.048403508	0.750495396	1.06229279	1.112443193	0	0	3.091460285	1.606767256	0	0.2511936	0	0	0.122949301	0.241916752	0.159129909	0	1.295772446	0.618355251	0.042872026	0	0	0	0	0	0.38623986	0	0.802721525	0.389500848	2.330325635	0.914186554	0.817199617	0.054550207	0.719425379	0.443202624	1.73293657	0	0	0	0	0	0	0	0	0	1.048069823	0	0	0	0.248599117	0	0	0	0	0	0	0	0	0	0.292383667	0	0	0	0.90842203	0	0	0	0	0.620720282	0.023974916	0	0	0	0	0	0.602139749	0	0.186441736	0.602769082	0	0	0	1.046082066	0	0	0	0.072041364	0	0	1.506225933	1.164603885	0	1.762990558	0	0	0	0	0	0.358136116	0	0	0	0.494739802	0	0	0
